Id,LotFrontage,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtFinType1,TotalBsmtSF,HeatingQC,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MoSold,YrSold,SalePrice,Gar2,Shed,TenC,TotalBath,Bedroom/Bathroom,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Exterior1st_MetalSd,Exterior1st_Other,Exterior1st_Plywood,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior2nd_HdBoard,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Foundation_CBlock,Foundation_Other,Foundation_PConc,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_NoBsmt,BsmtExposure_NoExposure
1,65.0,8450,20,7,5,2003,2003,196.0,4,3,4,3,6,856,5,1710,3,1,4,8,6,0,0,2003.0,2,2,548,3,3,3,0,61,0,0,0,0,0,0,2,2008,208500,0,0,0,4,0.75,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
2,80.0,9600,23,6,8,1976,1976,0.0,3,3,4,3,5,1262,5,1262,3,1,3,6,6,1,3,1976.0,2,2,460,3,3,3,298,0,0,0,0,0,0,0,5,2007,181500,0,0,0,3,1.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
3,68.0,11250,20,7,5,2001,2002,162.0,4,3,4,3,6,920,5,1786,3,1,4,6,6,1,3,2001.0,2,2,608,3,3,3,0,42,0,0,0,0,0,0,9,2008,223500,0,0,0,4,0.75,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
4,60.0,9550,15,7,5,1915,1970,0.0,3,3,3,4,5,756,4,1717,3,1,4,7,6,1,4,1998.0,1,3,642,3,3,3,0,35,272,0,0,0,0,0,2,2006,140000,0,0,0,2,1.5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,84.0,14260,18,8,5,2000,2000,350.0,4,3,4,3,6,1145,5,2198,4,1,4,9,6,1,3,2000.0,2,3,836,3,3,3,192,84,0,0,0,0,0,0,12,2008,250000,0,0,0,4,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
6,85.0,14115,17,5,5,1993,1995,0.0,3,3,4,3,6,796,5,1362,1,1,3,5,6,0,0,1993.0,1,2,480,3,3,3,40,30,0,320,0,0,0,3,10,2009,143000,0,700,0,3,0.3333333333333333,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
7,75.0,10084,22,8,5,2004,2005,186.0,4,3,5,3,6,1686,5,1694,3,1,4,7,6,1,4,2004.0,2,2,636,3,3,3,255,57,0,0,0,0,0,0,8,2007,307000,0,0,0,3,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
8,86.88774090278193,10382,9,7,6,1973,1973,240.0,3,3,4,3,5,1107,5,2090,3,1,3,7,6,2,3,1973.0,2,2,484,3,3,3,235,204,228,0,0,0,0,0,11,2009,200000,0,350,0,4,0.75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
9,51.0,6120,3,7,5,1931,1950,0.0,3,3,3,3,1,952,4,1774,2,2,3,8,6,2,3,1931.0,1,2,468,2,3,3,90,0,205,0,0,0,0,0,4,2008,129900,0,0,0,2,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10,50.0,7420,8,5,6,1939,1950,0.0,3,3,3,3,6,991,5,1077,2,2,3,5,6,2,3,1939.0,2,1,205,4,3,3,0,4,0,0,0,0,0,0,1,2008,118000,0,0,0,2,1.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
11,70.0,11200,12,5,5,1965,1965,0.0,3,3,3,3,3,1040,5,1040,3,1,3,5,6,0,0,1965.0,1,1,384,3,3,3,0,0,0,0,0,0,0,0,2,2008,129500,0,0,0,2,1.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
12,85.0,11924,24,9,5,2005,2006,286.0,5,3,5,3,6,1175,5,2324,4,1,5,11,6,2,4,2005.0,3,3,736,3,3,3,147,21,0,0,0,0,0,0,7,2006,345000,0,0,0,4,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
