Id,LotFrontage,LotArea,LotConfig,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,TotalBsmtSF,HeatingQC,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MoSold,YrSold,SaleCondition,SalePrice,Gar2,Shed,TenC,TotalBath,Bedroom/Bathroom
1,65.0,8450,Inside,20,7,5,2003,2003,VinylSd,VinylSd,BrkFace,196.0,4,3,PConc,4,3,NoExposure,6,856,5,1710,3,1,4,8,6,0,0,2003.0,2,2,548,3,3,3,0,61,0,0,0,0,0,0,2,2008,Normal,208500,0,0,0,4,0.75
2,80.0,9600,FR2,23,6,8,1976,1976,MetalSd,MetalSd,None,0.0,3,3,CBlock,4,3,Gd,5,1262,5,1262,3,1,3,6,6,1,3,1976.0,2,2,460,3,3,3,298,0,0,0,0,0,0,0,5,2007,Normal,181500,0,0,0,3,1.0
3,68.0,11250,Inside,20,7,5,2001,2002,VinylSd,VinylSd,BrkFace,162.0,4,3,PConc,4,3,Mn,6,920,5,1786,3,1,4,6,6,1,3,2001.0,2,2,608,3,3,3,0,42,0,0,0,0,0,0,9,2008,Normal,223500,0,0,0,4,0.75
4,60.0,9550,Corner,15,7,5,1915,1970,Wd Sdng,Other,None,0.0,3,3,BrkTil,3,4,NoExposure,5,756,4,1717,3,1,4,7,6,1,4,1998.0,1,3,642,3,3,3,0,35,272,0,0,0,0,0,2,2006,Abnorml,140000,0,0,0,2,1.5
5,84.0,14260,FR2,18,8,5,2000,2000,VinylSd,VinylSd,BrkFace,350.0,4,3,PConc,4,3,Av,6,1145,5,2198,4,1,4,9,6,1,3,2000.0,2,3,836,3,3,3,192,84,0,0,0,0,0,0,12,2008,Normal,250000,0,0,0,4,1.0
6,85.0,14115,Inside,17,5,5,1993,1995,VinylSd,VinylSd,None,0.0,3,3,Other,4,3,NoExposure,6,796,5,1362,1,1,3,5,6,0,0,1993.0,1,2,480,3,3,3,40,30,0,320,0,0,0,3,10,2009,Normal,143000,0,700,0,3,0.3333333333333333
7,75.0,10084,Inside,22,8,5,2004,2005,VinylSd,VinylSd,Stone,186.0,4,3,PConc,5,3,Av,6,1686,5,1694,3,1,4,7,6,1,4,2004.0,2,2,636,3,3,3,255,57,0,0,0,0,0,0,8,2007,Normal,307000,0,0,0,3,1.0
8,86.88774090278193,10382,Corner,9,7,6,1973,1973,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4,3,Mn,5,1107,5,2090,3,1,3,7,6,2,3,1973.0,2,2,484,3,3,3,235,204,228,0,0,0,0,0,11,2009,Normal,200000,0,350,0,4,0.75
9,51.0,6120,Inside,3,7,5,1931,1950,Other,Other,None,0.0,3,3,BrkTil,3,3,NoExposure,1,952,4,1774,2,2,3,8,6,2,3,1931.0,1,2,468,2,3,3,90,0,205,0,0,0,0,0,4,2008,Abnorml,129900,0,0,0,2,1.0
10,50.0,7420,Corner,8,5,6,1939,1950,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,NoExposure,6,991,5,1077,2,2,3,5,6,2,3,1939.0,2,1,205,4,3,3,0,4,0,0,0,0,0,0,1,2008,Normal,118000,0,0,0,2,1.0
